country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",16-12-2025 21:00,25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",16-12-2025 21:00,25.251013,86.989001,SO2,27,57,43
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",16-12-2025 21:00,25.265194,87.012947,NH3,4,12,8
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",16-12-2025 21:00,25.265194,87.012947,CO,30,88,60
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",16-12-2025 21:00,25.265194,87.012947,OZONE,17,85,59
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",16-12-2025 21:00,25.204762,85.51496,PM10,65,159,115
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",16-12-2025 21:00,25.204762,85.51496,SO2,10,10,10
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",16-12-2025 21:00,25.204762,85.51496,CO,2,52,29
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",16-12-2025 21:00,25.56752,83.966379,NO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",16-12-2025 21:00,25.56752,83.966379,CO,22,28,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",16-12-2025 21:00,25.7808257,84.7446768,PM10,26,136,93
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",16-12-2025 21:00,25.7808257,84.7446768,SO2,43,53,47
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",16-12-2025 21:00,25.7808257,84.7446768,CO,42,58,54
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",16-12-2025 21:00,25.7808257,84.7446768,OZONE,152,255,188
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",16-12-2025 21:00,13.67,79.35,PM10,49,128,101
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",16-12-2025 21:00,13.615387,79.40923,PM2.5,54,70,60
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",16-12-2025 21:00,13.615387,79.40923,NO2,14,17,15
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16-12-2025 21:00,16.536107,80.594233,OZONE,25,44,34
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-12-2025 21:00,16.486692,80.699436,PM10,29,84,50
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-12-2025 21:00,16.486692,80.699436,NO2,27,60,38
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-12-2025 21:00,16.486692,80.699436,NH3,2,3,3
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-12-2025 21:00,16.486692,80.699436,SO2,7,17,11
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-12-2025 21:00,16.486692,80.699436,CO,43,79,59
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16-12-2025 21:00,16.486692,80.699436,OZONE,21,21,21
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16-12-2025 21:00,16.509717,80.612222,PM2.5,73,116,92
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",16-12-2025 21:00,25.560083,87.553265,OZONE,5,8,6
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",16-12-2025 21:00,26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",16-12-2025 21:00,26.0881305,87.93840336,OZONE,14,17,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",16-12-2025 21:00,26.63086,84.90051,PM2.5,30,170,85
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",16-12-2025 21:00,26.63086,84.90051,OZONE,3,6,4
India,Bihar,Munger,"Town Hall, Munger - BSPCB",16-12-2025 21:00,25.376776,86.471523,PM2.5,57,213,117
India,Bihar,Munger,"Town Hall, Munger - BSPCB",16-12-2025 21:00,25.376776,86.471523,PM10,48,123,87
India,Bihar,Munger,"Town Hall, Munger - BSPCB",16-12-2025 21:00,25.376776,86.471523,NO2,4,5,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",16-12-2025 21:00,26.146529,87.454184,OZONE,9,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",16-12-2025 21:00,25.5626095,84.663264,CO,38,69,54
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",16-12-2025 21:00,24.75746,84.366208,PM2.5,37,247,92
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",16-12-2025 21:00,24.75746,84.366208,CO,101,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",16-12-2025 21:00,25.42742023,86.13886079,CO,37,79,58
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",16-12-2025 21:00,26.80365,84.51954,PM10,58,135,95
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",16-12-2025 21:00,26.349082,92.68449,OZONE,7,9,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",16-12-2025 21:00,26.446912,91.439057,PM10,107,126,116
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",16-12-2025 21:00,26.987634,94.636574,PM2.5,NA,NA,NA
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",16-12-2025 21:00,26.987634,94.636574,CO,14,108,47
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",16-12-2025 21:00,26.146529,87.454184,PM10,37,150,93
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",16-12-2025 21:00,24.7955,84.9994,OZONE,19,21,19
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",16-12-2025 21:00,24.792403,84.992416,CO,34,42,35
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",16-12-2025 21:00,24.762518,84.982348,CO,24,50,31
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",16-12-2025 21:00,25.697189,85.2459,PM10,101,121,112
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",16-12-2025 21:00,25.697189,85.2459,NO2,40,66,47
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",16-12-2025 21:00,11.654054,92.734055,PM2.5,32,48,38
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",16-12-2025 21:00,11.654054,92.734055,CO,14,46,31
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16-12-2025 21:00,16.5150833,80.5181667,PM2.5,68,311,191
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16-12-2025 21:00,16.5150833,80.5181667,NO2,23,109,48
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16-12-2025 21:00,16.5150833,80.5181667,SO2,1,8,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",16-12-2025 21:00,26.071318,91.87488,CO,18,70,50
